TotalRows
Total Borrower Account AR Logs: 2409

BorrowerAccountARMessageText_Value,AREventCreationDateTime_Value,BorrowerNumber_Value,ActionCodeShortValueText_Value,ResultCodeShortValueText_Value,UserSystemUserName_Value
APPOVED REFUNDS TO BORROWER,4/8/2013,1000356570,BROFSArv,BROFSAap,greshae
Appprove; REFUND $267.29 (2) AWG OP TO BORROWER,4/1/2013,1003642343,BROFSArv,BROFSAap,ferrelb
Approve  Refund $1304.27 to borrower; top hardship,4/8/2013,1000860976,BROFSArv,BROFSAap,ferrelb
APPROVE  REFUND $1800.00 (9) VOL AFTER REHAB TO LENDER - PHEAA,4/4/2013,1000775674,BROFSArv,BROFSAap,ferrelb
Approve  REFUND $246.73 PARTIAL TOP OP TO BORROWER,3/7/2013,1000605820,BROFSArv,BROFSAap,ferrelb
"Approve  REFUND $28.49 PARTIAL TOP OP TO BORROWER;
TRACE #S91941933 $28.49 03/01/2013",4/4/2013,1000797426,BROFSArv,BROFSAap,ferrelb
APPROVE  REFUND $4980.00 VOL AFTER REHAB TO DLSS,4/11/2013,1002658756,BROFSArv,BROFSAap,ferrelb
Approve  REFUND OF AWG PAYMENT TR 1977052 3/6/2013 221.14,4/11/2013,1002622865,BROFSArv,BROFSAap,ferrelb
APPROVE - REFUND OF TOP $535.62 2/13/13 tr# S90307847 AND VOL $81.68 4-18-11 T#81.68 TOTAL REFUND WAITING FOR APPROVAL IS $617.30,4/16/2013,1001964217,BROFSArv,BROFSAap,ferrelb
APPROVE  REFUND TOP AFTER CONSOL TO  BORROWER $3053.24,4/4/2013,1003443924,BROFSArv,BROFSAap,ferrelb
APPROVE  Refund TOP to borrower for $429.00 ,4/16/2013,1002045743,BROFSArv,BROFSAap,ferrelb
Approve $106.44 to borrower. awise/r4,3/8/2013,1002035881,BROFSArv,BROFSAap,wisea
Approve $92.39 to DLCN. awise/r4,4/8/2013,1000393521,BROFSArv,BROFSAap,wisea
APPROVE :  REFUND AWG OP TO BORR; ($293.17-TOTAL) TR4101017 2/27/2013 120.18; TR 1958084 2/12/2013 112.53; TR S89912267 2/7/2013 60.46,4/16/2013,1002253994,BROFSArv,BROFSAap,ferrelb
"Approve : ADTL REFUND TO BORR: 9-7-11 $214.46 T#000069, 9-23-11 $214.46 T#1946027, 10-11-11 $268.04 T#2041020, 10-24-11 $214.46 T#2039075, 11-7-11 $242.40 T#1977095, 11-25-11 $214.46 T#1929062",4/3/2013,1001915019,BROFSArv,BROFSAap,ferrelb
APPROVE : REFUND $100.00 VOL AFTER REHAB TO LENDER - GREAT LAKES,4/4/2013,1003521694,BROFSArv,BROFSAap,ferrelb
Approve : Refund (2)AWG (total amt $367.39) to borrower for $206.90 trc#1939046 on 2/28/13 and a partial for $160.49 trc#1933017 on 2/15/13.,4/4/2013,1000875534,BROFSArv,BROFSAap,ferrelb
Approve : Refund (2)TOP (total amt $100.00) to borrower for $50.00 trc# K91764507 on 3/1/13 and $50.00 trc# K89413141 on 2/1/13 (va disab approved on 3/7/13 - refer to A/R event on 3/6/13 regarding va disab).,4/4/2013,1001281322,BROFSArv,BROFSAap,ferrelb
